,paperId,authorId,authorName,authors,citationCount,fieldsOfStudy,influentialCitationCount,openAccessPdf,publicationDate,publicationYear,referenceIds,referenceTitles,source,title_spec,venue
0,000160a2fe73e426cad54f5ba7d1e45703a77b98,"2152052057,2268674717","Panagiotis I. Nikolaidis,John S. Baras","[{'authorId': '2152052057', 'name': 'Panagiotis I. Nikolaidis'}, {'authorId': '2268674717', 'name': 'John S. Baras'}]",0,,0.0,gs://arxiv-dataset/arxiv/arxiv/pdf/2404/2404.18254v1.pdf,None,2025,,,s2,Robust Resource Sharing in Network Slicing via Hypothesis Testing,IEEE Transactions on Network and Service Management
1,0004c478be53ae7cc93461846992842c73778e7e,"2266750381,1721077","Louis Golowich,V. Guruswami","[{'authorId': '2266750381', 'name': 'Louis Golowich'}, {'authorId': '1721077', 'name': 'V. Guruswami'}]",0,Computer Science,0.0,gs://arxiv-dataset/arxiv/arxiv/pdf/2311/2311.08653v1.pdf,None,2025,,,s2,Quantum Locally Recoverable Codes,ACM-SIAM Symposium on Discrete Algorithms
2,000a3e6667afb4ca8476ce15555b05244c3b458a,"2064292642,2340550389,2109040952","Fenghui Lian,Yingjie Sun,Meiyu Li","[{'authorId': '2064292642', 'name': 'Fenghui Lian'}, {'authorId': '2340550389', 'name': 'Yingjie Sun'}, {'authorId': '2109040952', 'name': 'Meiyu Li'}]",0,Medicine,0.0,https://www.nature.com/articles/s41598-025-86087-8.pdf,2025-01-15,2025,,,s2,Extracting organs of interest from medical images based on convolutional neural network with auxiliary and refined constraints,Scientific Reports
3,000c965a4857c0da7d9df07065b48920a6a756c6,"2331573849,2256970731","Sandeep Reddy,Sameer Shaikh","[{'authorId': '2331573849', 'name': 'Sandeep Reddy'}, {'authorId': '2256970731', 'name': 'Sameer Shaikh'}]",0,,0.0,https://eprints.qut.edu.au/252096/1/9284-PB1-6129-R1.pdf,None,2025,,,s2,The long road ahead: navigating obstacles and building bridges for clinical integration of artificial intelligence technologies,Journal of Medical Artificial Intelligence
4,00139e24da15df3f2f4ef70a92a781ccf315ef47,"2346560940,2277617384,1992769227,1398654276","Jana Jung,Timo Glatter,Marco Herfurth,L. Søgaard‐Andersen","[{'authorId': '2346560940', 'name': 'Jana Jung'}, {'authorId': '2277617384', 'name': 'Timo Glatter'}, {'authorId': '1992769227', 'name': 'Marco Herfurth'}, {'authorId': '1398654276', 'name': 'L. Søgaard‐Andersen'}]",0,Biology,0.0,https://www.biorxiv.org/content/biorxiv/early/2025/02/19/2025.02.19.639066.full.pdf,2025-02-19,2025,,,s2,"DdiA, an XRE family transcriptional regulator, regulates a LexA-independent DNA damage response in Myxococcus xanthus",bioRxiv
5,0024c33a8cca7175b92880b8c47940deeb05e87c,"81957285,2175056686,6558082,2294763170,1970251,2260001835,2227650844","Tarek Khater,A. Hussain,R. Bendardaf,Iman M. Talaat,H. Tawfik,Sam Ansari,Soliman A. Mahmoud","[{'authorId': '81957285', 'name': 'Tarek Khater'}, {'authorId': '2175056686', 'name': 'A. Hussain'}, {'authorId': '6558082', 'name': 'R. Bendardaf'}, {'authorId': '2294763170', 'name': 'Iman M. Talaat'}, {'authorId': '1970251', 'name': 'H. Tawfik'}, {'authorId': '2260001835', 'name': 'Sam Ansari'}, {'authorId': '2227650844', 'name': 'Soliman A. Mahmoud'}]",11,Computer Science,2.0,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10229149.pdf,None,2025,,,s2,An Explainable Artificial Intelligence Model for the Classification of Breast Cancer,IEEE Access
6,0027ea27f5986f9c6ee9776e10289c7f2aa089ca,"2168878518,1714681,1692663","Robert Szafarczyk,S. Nabi,W. Vanderbauwhede","[{'authorId': '2168878518', 'name': 'Robert Szafarczyk'}, {'authorId': '1714681', 'name': 'S. Nabi'}, {'authorId': '1692663', 'name': 'W. Vanderbauwhede'}]",1,Computer Science,0.0,gs://arxiv-dataset/arxiv/arxiv/pdf/2501/2501.13553v1.pdf,2025-01-23,2025,,,s2,Compiler Support for Speculation in Decoupled Access/Execute Architectures,International Conference on Compiler Construction
7,00291c982d2d9e69d8fe8c89a7db1fbb25f15687,"30455986,2283562588,2182492272,2308111697,2338816502,2338815388,2243227743,2296667017,2338816370,2283585238,2256102695","Affiong I. Oqua,Kin Chao,Liliane El Eid,Lisa Casteller,Billy P Baxter,Alba Miguéns-Gómez,Sebastian Barg,Ben Jones,Jorge Bernadino de la Serna,Sarah L Rouse,Alejandra Tomas","[{'authorId': '30455986', 'name': 'Affiong I. Oqua'}, {'authorId': '2283562588', 'name': 'Kin Chao'}, {'authorId': '2182492272', 'name': 'Liliane El Eid'}, {'authorId': '2308111697', 'name': 'Lisa Casteller'}, {'authorId': '2338816502', 'name': 'Billy P Baxter'}, {'authorId': '2338815388', 'name': 'Alba Miguéns-Gómez'}, {'authorId': '2243227743', 'name': 'Sebastian Barg'}, {'authorId': '2296667017', 'name': 'Ben Jones'}, {'authorId': '2338816370', 'name': 'Jorge Bernadino de la Serna'}, {'authorId': '2283585238', 'name': 'Sarah L Rouse'}, {'authorId': '2256102695', 'name': 'Alejandra Tomas'}]",0,"Biology,Medicine",0.0,https://www.biorxiv.org/content/biorxiv/early/2024/06/25/2024.06.22.600087.full.pdf,2025-01-02,2025,5b1c612edf20afd6c4885bdaa41404600cafb355;2c117e1bed41946070c9b2a6befc5c0a10942b3d;5138f96cd3d70bf44ec33c7ac789db0046746206;a51eb9149ebaa701d4e9ae356a2135b7433c4b22;a3a8b84292ee4f25da95def137e7c98acd9fc554;ceb85b6a68ae4e918d2e7b0a0709ec7d54130a48;89efe8f96612f9f041344c0ece935c77966a76c9;91f6e545dd964e760f40ae19b21ae56700757542;8aa4d0997f360caf6513f7265a0e53ef37bab1fd;845b790948eb66f2318095adb35b2dbc6b9fb22b;6ce51b17cbf3f8d965afac4a11dba42b6ef19df4;7e7782e78cfb0e1ef21d5f488436b1ae90efe8c5;7caed6f88a2637d577792df15723739e5cc04aed;50970216ab97806f1073e93acfe14b9b45fade87;ecbce30e0fc2f71017c49fc10df9618f6f872165;66a8ea9910dc0f9cb0533093a4bac55fac60530d;29d0c8384e815643d4ee45157130360acd465973;5cd9346a596e25c40099b706bd3ecd935532d893;56f2ebc15d14bf15f087896bf4dbcd29a08aafbc;881efdfa4d82fd58d4d645ce9e1806bd28edeb80;134f4ecb86505d781da92f87bbef1aab31d2867a;6c4fb6bbd5d62ef1350d09792120f121afce8fd4;db9f7005e76bf1fd307f1bdf2a019e0ba0658f78;be64af89ffad0e46e0639f9e850a8340a686c4be;edac29722b9448c00c727352ccca02bfb0a746ba;9a3aedd3556732af0bc72cefcd5b9a4fb6b5739c;5afd643a76f5973a1179e6d6b5b3bd4963b0861d;430ba46e178c491225c1dd673ae97742a3fab9f1;7b7b2d771921c66f6b295697c180ccb3d414deeb;962cecc2a2bd00473bc28cd3dc6f4e2f415bc5ca;4ccc59d942e51a62ecdec9fc2a722c343d76b8ef;34ac9603aa5d422093d0cd6a0a1429b831c768e2;fa78c0a11866a0364bc49d8d5b5c5b512426532e;16f30b76142304c99acf39478df464a3b1828401;9a3f4a783e5dff9056b68fe9fa7cffca5e44998d;a4607a83a2479e2654ea490b5c106b631feddf5d;def72ea245a151a238b85f7eb5e4dc8cf1b6bd5b;c959a32cf14b79cd0ec1e9c8847f4da923a891d3;19ca14d882b6885224e711d44d379c24d2a14bd2;346ef7fdf555fc0396f9e954bcda723a2fb1b356;0e7c330a5dcfe23e6a91f9539ce4a1764214bc18;606a1b5b5c56ac50bb1536910d93de20b951266d;b42d5d66bfb3253cb6f3ab3d8261e3aba2103cdb;af56a3d04b7a7088f0a6ab1090453cfe40bce39a;b82648533c62326ef616c46d065cd08b680f6bdb;52d0c3391873f7bb6767d7f98bdc2b615c5e31fa;88d57db91a1bd6f2a7bd094fda05b4a011c1d047;ce4bbbe09c137bac890c294fe9ca9588fe5225a7;79ecf855e4fc4241430b8e028fe2aa7dfce6e636;e2c67c99ef6037c2d987adac8d26a16a4d8b345e;166e256d1f03ad64b73ee35e1923d653b77d4485;57d9bb86d1e87f2e69fc8d6c3c5622e4099e3f61;274774b17b1fd9674ec16020a27b2cd4f7176133;7392a344973548009ebc8668895cb97162163de5;7ba777dc3fc96b079aa2571508309b27afd7fca9;3f2ea62f69c4b158b676815f56b98b57444fab86;ae675566584b233209bd062a0a44fb12324d44cd;0f92d3b97898a90f3a0972e31b59925eba580fa4;60d9a51fe29f97bbbaa756d863d39061262bb1fc;49b2356120411dd5945da922789a216b31dcd2a7;cc4365329d26ad61b4403da6dc5e1431bac70623;3a74982c56a7e4c8b03ca05bf7ab085ed9bae30f;338916a87b053260d55b95a4464fd298c584dc43;1fb5ffb13916d98d635473b01dddbd107b0c4e9f;76f48961e77227e276e5d7f5cf2ef2ec712a2be7;f4a69fc0ffc5de5305b1cc0c4be33a3a37487b11;51dd07564a6ae6f5aa28c8f078fed2a816caafc6;54b51fb9b10c9472b071dd902c157e43fca7699d;08fcc96b122ba76138b2832c48263f9908bc26a1;7d63e5ab05f878ae4f526d89a004a9d7d73a412e;79cf193a31cb123add0873ce33f6d3f2c60889b3;c55d959289907278cc5eb40fe2055b4632ad275d;1c7de2f7986813f2e368d32ceb46c68c2ac74ba1;6bd4ccb9204a8e94906ece8b874a8e3f11ab4d97;12635e085c01badd4c3dcaa74c54165493e83c81;cf7cd5306c8c448797644501f390f82e8a929089;384d724e0cba03cd1848dfb29fb89d9709549860;aee68eda11f1e289e73f1077da775f2dcbd747ec;1ae96936f9a22b8d0627791a9ff21fea7e9d0cee;9b7bf64ef8df832a1b1424374e03687f2c6bad59;ebe3d5e0287401ae9453e39a5dc865a5360e4eb1;344c7523b0b051bf4c6fed4e7bcd69a8e19a4c23;4dcf1ba0e71f692fac74ba0343a97f1c38e4a0d4;376f474b3556b87544a7005ddc91964de27f9f91;77d049b5961f57d9d42154144432a8fb039f1230;86e659db4d4c8a45175ffe8bb0cd372e3f3e5e82;73cbf3714cf74b7c75792df296c83b4eb3169c68;eae45f6e52d294f403dea56f3210cbba3a66fcac;521027c14a7ef622a4f03106799706d0824e192a;18140934c20df9e96b4eef86ecf5d4dd8c1188ea;897172c2bff121370e4454cccb685a51dd2a2fba;58f237c8daf2eb6b4c7710694c96c3ed654a734d,"GLP-1R associates with VAPB and SPHKAP at ERMCSs to regulate β-cell mitochondrial remodelling and function;Missense3D-TM: Predicting the Effect of Missense Variants in Helical Transmembrane Protein Regions Using 3D Protein Structures;Newer pharmacological interventions directed at gut hormones for obesity;Martini 3 Coarse-Grained Force Field for Cholesterol.;Statins and risk of type 2 diabetes: mechanism and clinical implications;An updated patent review of GLP-1 receptor agonists (2020-present);Divergent acute versus prolonged pharmacological GLP-1R responses in adult β cell–specific β-arrestin 2 knockout mice;The expanding incretin universe: from basic biology to clinical translation;Enhanced Endosomal Signaling and Desensitization of GLP-1R vs GIPR in Pancreatic Beta Cells;Fluorescent Probes for Lipid Membranes: From the Cell Surface to Organelles.;Interactions of cholesterol molecules with GPCRs in different states: A comparative analysis of GPCRs' structures.;Martinize2 and Vermouth: Unified Framework for Topology Generation;Exenatide prevents statin-related LDL receptor increase and improves insulin secretion in pancreatic beta cells (1.1E7) in a protein kinase A-dependent manner.;GPCRdb in 2023: state-specific structure models using AlphaFold2 and new ligand resources;Cholesterol-Dependent Dynamics of the Serotonin1A Receptor Utilizing Single Particle Tracking: Analysis of Diffusion Modes.;Biased Agonism and Polymorphic Variation at the GLP-1 Receptor: Implications for the Development of Personalised Therapeutics.;1457-P: Cholesterol Accumulation in Islets Increases Steroidogenic Acute Regulatory (StAR) Protein Expression and Decreases Islet Cell Viability and ß-Cell Function;Cholesterol Dependent Activity of the Adenosine A2A Receptor Is Modulated via the Cholesterol Consensus Motif;The role of the lipid environment in the activity of G protein coupled receptors.;Cholesterol-dependent endocytosis of GPCRs: implications in pathophysiology and therapeutics;Spatial arrangement of proteins in planar and curved membranes by PPM 3.0;Brain GLP‐1 and the regulation of food intake: GLP‐1 action in the brain and its implications for GLP‐1 receptor agonists in obesity treatment;Super-Resolution Microscopy Using a Bioorthogonal-Based Cholesterol Probe Provides Unprecedented Capabilities for Imaging Nanoscale Lipid Heterogeneity in Living Cells.;Acylation of the Incretin Peptide Exendin-4 Directly Impacts Glucagon-Like Peptide-1 Receptor Signaling and Trafficking;PyLipID: A Python Package for Analysis of Protein–Lipid Interactions from Molecular Dynamics Simulations;Contribution of Mitochondria to Insulin Secretion by Various Secretagogues;Improved Parameterization of Phosphatidylinositide Lipid Headgroups for the Martini 3 Coarse-Grain Force Field.;Molecular insights into ago-allosteric modulation of the human glucagon-like peptide-1 receptor;The Interplay of Glucagon-Like Peptide-1 Receptor Trafficking and Signalling in Pancreatic Beta Cells;The therapeutic potential of GLP‐1 receptor biased agonism;Martini 3: a general purpose force field for coarse-grained molecular dynamics;Multi-dimensional and spatiotemporal correlative imaging at the plasma membrane of live cells to determine the continuum nano-to-micro scale lipid adaptation and collective motion;LAURDAN since Weber: The Quest for Visualizing Membrane Heterogeneity.;Predictable cholesterol binding sites in GPCRs lack consensus motifs.;Allosteric Modulation of GPCRs of Class A by Cholesterol;Evolving cryo-EM structural approaches for GPCR drug discovery;Adaptive Lipid Immiscibility and Membrane Remodeling Are Active Functional Determinants of Primary Ciliogenesis.;Genetic and biased agonist-mediated reductions in β-arrestin recruitment prolong cAMP signaling at glucagon family receptors;Incretin Hormones and Type 2 Diabetes—Mechanistic Insights and Therapeutic Approaches;Imperial;Ligand-Specific Factors Influencing GLP-1 Receptor Post-Endocytic Trafficking and Degradation in Pancreatic Beta Cells;Structure and Dynamics of GPCRs in Lipid Membranes: Physical Principles and Experimental Approaches;Differential GLP-1R binding and activation by peptide and non-peptide agonists;Lipid-Protein Interactions Are a Unique Property and Defining Feature of G Protein-Coupled Receptors.;Full-length human GLP-1 receptor structure without orthosteric ligands;Signalling, trafficking and glucoregulatory properties of glucagon‐like peptide‐1 receptor agonists exendin‐4 and lixisenatide;ER-lysosome contacts enable cholesterol sensing by mTORC1 and drive aberrant growth signaling in Niemann-Pick type C;Agonist-induced membrane nanodomain clustering drives GLP-1 receptor responses in pancreatic beta cells;2125-P: Increased StAR (Steroidogenic Acute Regulatory Protein) Is Detrimental to ß Cells and Promotes Mitochondrial Dysfunction;An Overview, Advantages and Therapeutic Potential of Nonpeptide Positive Allosteric Modulators of Glucagon‐Like Peptide‐1 Receptor;RNA-seq-based identification of Star upregulation by islet amyloid formation.;State-dependent Lipid Interactions with the A2a Receptor Revealed by MD Simulations Using In Vivo-Mimetic Membranes;Targeting GLP-1 receptor trafficking to improve agonist efficacy;Cholesterol metabolism—physiological regulation and pathophysiological deregulation by the endoplasmic reticulum;Phase-plate cryo-EM structure of a biased agonist-bound human GLP-1 receptor–Gs complex;Dissecting single–cell molecular spatiotemporal mobility and clustering at Focal Adhesions in polarised cells by fluorescence fluctuation spectroscopy methods;Membrane lipids and cell signaling;Cryo-EM structure of the activated GLP-1 receptor in complex with G protein;The New Biology and Pharmacology of Glucagon.;The mystery of membrane organization: composition, regulation and roles of lipid rafts;Lipid–Protein Interactions Are Unique Fingerprints for Membrane Proteins;Glucagon-Like Peptide-1 and Its Class B G Protein–Coupled Receptors: A Long March to Therapeutic Successes;There Is No Simple Model of the Plasma Membrane Organization;Use of CRISPR/Cas9-engineered INS-1 pancreatic β cells to define the pharmacology of dual GIPR/GLP-1R agonists.;Restoring Mitochondrial Function: A Small Molecule-mediated Approach to Enhance Glucose Stimulated Insulin Secretion in Cholesterol Accumulated Pancreatic beta cells;Simvastatin Impairs Insulin Secretion by Multiple Mechanisms in MIN6 Cells;GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers;CHARMM-GUI Martini Maker for Coarse-Grained Simulations with the Martini Force Field.;Glucagon-Like Peptide-1 Increases Mitochondrial Biogenesis and Function in INS-1 Rat Insulinoma Cells;Computational Lipidomics with insane: A Versatile Tool for Generating Custom Membranes for Molecular Simulations.;The class B G-protein-coupled GLP-1 receptor: an important target for the treatment of type-2 diabetes mellitus.;Structure of Class B GPCRs: new horizons for drug discovery;Physiology and pharmacology of the enteroendocrine hormone glucagon-like peptide-2.;Nutrition and L and K-enteroendocrine cells;Identification of cholesterol recognition amino acid consensus (CRAC) motif in G-protein coupled receptors.;Syntaxin clusters assemble reversibly at sites of secretory granules in live cells;Raster image correlation spectroscopy in live cells;Multiphoton excitation fluorescence microscopy in planar membrane systems.;Combining an Elastic Network With a Coarse-Grained Molecular Force Field: Structure, Dynamics, and Intermolecular Recognition.;A specific cholesterol binding site is established by the 2.8 A structure of the human beta2-adrenergic receptor.;Cholesterol homeostasis in T cells. Methyl-beta-cyclodextrin treatment results in equal loss of cholesterol from Triton X-100 soluble and insoluble fractions.;The physiology of glucagon-like peptide 1.;Canonical sampling through velocity rescaling.;Caveolin-1 regulates cellular trafficking and function of the glucagon-like Peptide 1 receptor.;Comparative Protein Structure Modeling Using Modeller;Simvastatin: a review;The 3-hydroxy-3-methylglutaryl coenzyme-A (HMG-CoA) reductases;Isolation of INS-1-derived cell lines with robust ATP-sensitive K+ channel-dependent and -independent glucose-stimulated insulin secretion.;VMD: visual molecular dynamics.;Simvastatin. A reappraisal of its pharmacology and therapeutic efficacy in hypercholesterolaemia.;Polymorphic transitions in single crystals: A new molecular dynamics method;Zhang X;29 of 31 Frontiers;Röhrl C;Role of the steroidogenic acute regulatory protein in health and disease",s2,Molecular mapping and functional validation of GLP-1R cholesterol binding sites in pancreatic beta cells,bioRxiv
8,00317a3206df00f0c3c91595a349bc81b7118929,"2115738494,2066395412","Yeping Wang,M. Gleicher","[{'authorId': '2115738494', 'name': 'Yeping Wang'}, {'authorId': '2066395412', 'name': 'M. Gleicher'}]",1,Computer Science,0.0,gs://arxiv-dataset/arxiv/arxiv/pdf/2502/2502.03676v1.pdf,2025-02-05,2025,,,s2,Anytime Planning for End-Effector Trajectory Tracking,IEEE Robotics and Automation Letters
9,0034e238be40924c815d89333e50afeb8fde846e,"7167369,2327626722,2069020677,2279798536,143647897,2283176107,3528292,2298230556,2294582175","Meghan M. Moran,Jun Li,Quan Shen,Sheona P. Drummond,C. Milner,Anthony J. Day,A. Naqib,D. R. Sumner,Anna Plaas","[{'authorId': '7167369', 'name': 'Meghan M. Moran'}, {'authorId': '2327626722', 'name': 'Jun Li'}, {'authorId': '2069020677', 'name': 'Quan Shen'}, {'authorId': '2279798536', 'name': 'Sheona P. Drummond'}, {'authorId': '143647897', 'name': 'C. Milner'}, {'authorId': '2283176107', 'name': 'Anthony J. Day'}, {'authorId': '3528292', 'name': 'A. Naqib'}, {'authorId': '2298230556', 'name': 'D. R. Sumner'}, {'authorId': '2294582175', 'name': 'Anna Plaas'}]",0,Biology,0.0,https://www.biorxiv.org/content/biorxiv/early/2024/10/17/2024.10.17.618923.full.pdf,2025-02-19,2025,,,s2,Evidence of an Allostatic Response by Intestinal Tissues Following Induction of Joint Inflammation,bioRxiv
